FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
13063,GA,Clayton,165,189,14.54545455,0.634451891,0.70643114,11.34510741,107,86,-19.62616822,0.411432439,0.321444857,-21.87177599,749.6665528,666.146008,711.7697982,649.8371362
13065,GA,Clinch,5,5,0,0.735402265,0.731957254,-0.468452642,4,2,-50,0.588321812,0.292782901,-50.23422632,749.6665528,666.146008,711.7697982,649.8371362
13067,GA,Cobb,515,603,17.08737864,0.75207075,0.824918842,9.686334934,542,550,1.47601476,0.791499702,0.752413537,-4.938241236,749.6665528,666.146008,711.7697982,649.8371362
13069,GA,Coffee,22,29,31.81818182,0.522701894,0.677395996,29.59509132,17,15,-11.76470588,0.403906009,0.350377239,-13.25277863,749.6665528,666.146008,711.7697982,649.8371362
13071,GA,Colquitt,27,26,-3.703703704,0.597980156,0.563966856,-5.688031531,14,20,42.85714286,0.310063785,0.433820659,39.91335982,749.6665528,666.146008,711.7697982,649.8371362
13073,GA,Columbia,61,72,18.03278689,0.503923998,0.517029665,2.600722782,72,83,15.27777778,0.594795539,0.596020308,0.205914245,749.6665528,666.146008,711.7697982,649.8371362
13075,GA,Cook,13,13,0,0.759612014,0.755199256,-0.580922505,11,5,-54.54545455,0.642748627,0.290461252,-54.80951023,749.6665528,666.146008,711.7697982,649.8371362
13077,GA,Coweta,61,66,8.196721311,0.486051904,0.486829779,0.160039546,70,66,-5.714285714,0.55776448,0.486829779,-12.71767982,749.6665528,666.146008,711.7697982,649.8371362
13079,GA,Crawford,3,1,-66.66666667,0.236016049,0.080729797,-65.79478486,2,2,0,0.157344033,0.161459595,2.615645435,749.6665528,666.146008,711.7697982,649.8371362
13081,GA,Crisp,14,18,28.57142857,0.598853623,0.784860905,31.06055887,14,13,-7.142857143,0.598853623,0.566843987,-5.345151927,749.6665528,666.146008,711.7697982,649.8371362
13083,GA,Dade,8,8,0,0.480278562,0.488132284,1.635243151,9,7,-22.22222222,0.540313382,0.427115748,-20.95036644,749.6665528,666.146008,711.7697982,649.8371362
13085,GA,Dawson,19,17,-10.52631579,0.85106383,0.740514876,-12.98950211,21,14,-33.33333333,0.940649496,0.60983578,-35.16864863,749.6665528,666.146008,711.7697982,649.8371362
