FIPS,State,County,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
13167,GA,Johnson,1.082025,0.9486629,1.055159,0,4,0,4,0
13169,GA,Jones,0.8567245,0.9908802,0.799857,0,4,0,4,0
13171,GA,Lamar,0.8567245,0.9908802,0.799857,0,4,0,4,0
13173,GA,Lanier,1.082025,0.9486629,1.055159,0,4,0,4,0
13175,GA,Laurens,1.082025,0.9486629,1.055159,0,4,0,4,0
13177,GA,Lee,1.082025,0.9486629,1.055159,0,4,0,4,0
13179,GA,Liberty,1.082025,0.9486629,1.055159,0,4,0,4,0
13181,GA,Lincoln,1.082025,0.9486629,1.055159,0,4,0,4,0
13183,GA,Long,1.082025,0.9486629,1.055159,0,4,0,4,0
13185,GA,Lowndes,1.082025,0.9486629,1.055159,0,4,0,4,0
13187,GA,Lumpkin,0.8567245,0.9908802,0.799857,0,4,0,4,0
13189,GA,McDuffie,1.082025,0.9486629,1.055159,0,4,0,4,0
13191,GA,McIntosh,1.082025,0.9486629,1.055159,0,4,0,4,0
13193,GA,Macon,1.082025,0.9486629,1.055159,0,4,0,4,0
13195,GA,Madison,1.082025,0.9486629,1.055159,0,4,0,4,0
13197,GA,Marion,1.082025,0.9486629,1.055159,0,4,0,4,0
13199,GA,Meriwether,0.8567245,0.9908802,0.799857,0,4,0,4,0
13201,GA,Miller,1.082025,0.9486629,1.055159,0,4,0,4,0
13205,GA,Mitchell,1.082025,0.9486629,1.055159,0,4,0,4,0
13207,GA,Monroe,0.8567245,0.9908802,0.799857,0,4,0,4,0
13209,GA,Montgomery,1.082025,0.9486629,1.055159,0,4,0,4,0
13211,GA,Morgan,0.8567245,0.9908802,0.799857,0,4,0,4,0
13213,GA,Murray,0.8567245,0.9908802,0.799857,0,4,0,4,0
13215,GA,Muscogee,1.082025,0.9486629,1.055159,0,4,0,4,0
13217,GA,Newton,0.8567245,0.9908802,0.799857,0,4,0,4,0
13219,GA,Oconee,0.8567245,0.9908802,0.799857,0,4,0,4,0
13221,GA,Oglethorpe,0.8567245,0.9908802,0.799857,0,4,0,4,0
13223,GA,Paulding,0.8567245,0.9908802,0.799857,0,4,0,4,0
13225,GA,Peach,1.082025,0.9486629,1.055159,0,4,0,4,0
13227,GA,Pickens,0.8567245,0.9908802,0.799857,0,4,0,4,0
13229,GA,Pierce,1.114266,0.9753885,1.056827,0,4,0,4,0
13231,GA,Pike,0.8567245,0.9908802,0.799857,0,4,0,4,0
13233,GA,Polk,0.8567245,0.9908802,0.799857,0,4,0,4,0
13235,GA,Pulaski,1.082025,0.9486629,1.055159,0,4,0,4,0
13237,GA,Putnam,0.8567245,0.9908802,0.799857,0,4,0,4,0
13239,GA,Quitman,1.082025,0.9486629,1.055159,0,4,0,4,0
13241,GA,Rabun,1.082025,0.9486629,1.055159,0,4,0,4,0
13243,GA,Randolph,1.082025,0.9486629,1.055159,0,4,0,4,0
13245,GA,Richmond,1.082025,0.9486629,1.055159,0,4,0,4,0
13247,GA,Rockdale,0.8567245,0.9908802,0.799857,0,4,0,4,0
13249,GA,Schley,1.082025,0.9486629,1.055159,0,4,0,4,0
13251,GA,Screven,1.082025,0.9486629,1.055159,0,4,0,4,0
13253,GA,Seminole,1.082025,0.9486629,1.055159,0,4,0,4,0
13255,GA,Spalding,0.8567245,0.9908802,0.799857,0,4,0,4,0
13257,GA,Stephens,1.082025,0.9486629,1.055159,0,4,0,4,0
13259,GA,Stewart,1.082025,0.9486629,1.055159,0,4,0,4,0
13261,GA,Sumter,1.082025,0.9486629,1.055159,0,4,0,4,0
