FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,PCH_RECFACPTH_09_14
13127,GA,Glynn,11.1,11.5,28.4,26.2,,11,8,-27.27272727,0.139335748,0.09735321,-30.13048649
13129,GA,Gordon,9,10.2,28.8,29.3,,3,3,0,0.0546001,0.0535265,-1.966206933
13131,GA,Grady,12.3,12.1,31.4,33,,3,2,-33.33333333,0.120515808,0.078867463,-34.55840793
13133,GA,Greene,13.9,15.4,30.9,29.7,,0,0,0,0,0,0
13135,GA,Gwinnett,8.6,8.3,26.3,29.5,,87,72,-17.24137931,0.109258599,0.082011842,-24.93786071
13137,GA,Habersham,10,11.4,27.5,31.7,,2,1,-50,0.046569,0.0228561,-50.91995795
13139,GA,Hall,9.9,10.9,27.2,25.7,,7,15,114.2857143,0.039215,0.078632425,100.5160534
13141,GA,Hancock,14.2,15.8,35.2,31.2,,0,0,0,0,0,0
13143,GA,Haralson,10.8,11.2,27.8,27.3,,3,0,-100,0.104260791,0,-100
13145,GA,Harris,11.4,13.2,29.7,28.4,,2,2,0,0.06350416,0.0608347,-4.203674413
13147,GA,Hart,11.5,13.5,28.3,29.9,,3,1,-66.66666667,0.11948383,0.0394058,-67.02000499
13149,GA,Heard,10.7,12,28,30.2,,0,0,0,0,0,0
13151,GA,Henry,9.7,13.5,28.7,33.1,,13,14,7.692307692,0.065123083,0.065460632,0.51832592
13153,GA,Houston,11.9,13.2,29.6,31,,9,11,22.22222222,0.065494557,0.073770547,12.63614951
13155,GA,Irwin,11.6,12.4,31.5,29.2,,0,1,,0,0.109841828,
13157,GA,Jackson,10.6,11.2,26.9,27.4,,4,3,-25,0.066608939,0.0484888,-27.20381445
13159,GA,Jasper,11.5,12.6,29.7,29.3,,1,0,-100,0.072243895,0,-100
13161,GA,Jeff Davis,12,12.8,29.2,30,,0,0,0,0,0,0
13163,GA,Jefferson,14.4,16.7,35.1,35.3,,0,0,0,0,0,0
13165,GA,Jenkins,13.6,12.1,32.3,29.9,,0,0,0,0,0,0
13167,GA,Johnson,12.2,12.7,32.6,34,,0,0,0,0,0,0
13169,GA,Jones,11.8,12.4,29.1,33.5,,4,2,-50,0.139324277,0.069475805,-50.13374093
13171,GA,Lamar,12.1,11.7,29.8,30.6,,2,1,-50,0.109691219,0.0549239,-49.92859889
13173,GA,Lanier,10.6,11.4,29.9,33.2,,0,0,0,0,0,0
13175,GA,Laurens,12.3,14.4,32.7,36.2,,3,4,33.33333333,0.0617271,0.083592819,35.42315382
13177,GA,Lee,9.7,10.7,28.2,31.2,,2,0,-100,0.07060651,0,-100
13179,GA,Liberty,10.8,10.4,31,34.9,,2,2,0,0.0298236,0.0306758,2.857449615
13181,GA,Lincoln,13.1,14.1,30.5,29,,1,0,-100,0.123869689,0,-100
13183,GA,Long,10,9.8,30.1,31.4,,0,0,0,0,0,0
13185,GA,Lowndes,11.1,11.6,32.1,31.3,,9,9,0,0.08365634,0.079279089,-5.232419862
13187,GA,Lumpkin,8.8,10.8,26.8,30.7,,2,2,0,0.067287959,0.064151912,-4.660636387
13189,GA,McDuffie,12.3,17.4,29.7,33.4,,1,0,-100,0.0457959,0,-100
13191,GA,McIntosh,13.5,15.2,29.1,30.9,,0,0,0,0,0,0
13193,GA,Macon,14.2,13.5,32.6,36.4,,0,0,0,0,0,0
13195,GA,Madison,11.4,13.3,29.1,31.9,,2,0,-100,0.071408169,0,-100
13197,GA,Marion,12,14,30.2,32.9,,0,0,0,0,0,0
13199,GA,Meriwether,13.4,14.8,30.3,34.6,,0,0,0,0,0,0
13201,GA,Miller,13.1,13.3,30.2,30.3,,0,0,0,0,0,0
13205,GA,Mitchell,11.9,14.4,31.9,33.6,,0,2,,0,0.087831013,
13207,GA,Monroe,11.3,14.5,29.5,31.9,,2,3,50,0.076239851,0.11090163,45.46412332
13209,GA,Montgomery,10.5,13.4,30.3,36.2,,0,0,0,0,0,0
13211,GA,Morgan,12.2,11.6,28.3,26.5,,1,2,100,0.0558005,0.111383382,99.61015816
13213,GA,Murray,10.6,12.7,28.8,32.5,,0,0,0,0,0,0
13215,GA,Muscogee,12.8,13.4,31.4,28.8,,16,13,-18.75,0.084747558,0.064712998,-23.64028036
13217,GA,Newton,10.6,10.4,32.2,32.9,,7,5,-28.57142857,0.070356001,0.0482276,-31.45199628
13219,GA,Oconee,9.7,9.3,28.2,28.8,,4,4,0,0.123510159,0.113982846,-7.713789075
13221,GA,Oglethorpe,10.6,13,29,30.1,,1,1,0,0.067640693,0.068152389,0.756491515
13223,GA,Paulding,10.2,11,27.3,28.6,,13,14,7.692307692,0.092355127,0.09396793,1.746306208
13225,GA,Peach,11.9,13.6,30.2,34.4,,1,3,200,0.036398,0.111433029,206.1511032
13227,GA,Pickens,9.4,14.2,25.1,26.7,,2,3,50,0.067700223,0.100010001,47.72477248
13229,GA,Pierce,12,11.3,29,28.5,,1,0,-100,0.0538677,0,-100
13231,GA,Pike,10.2,11.7,28.4,26.2,,2,1,-50,0.112860448,0.0562303,-50.17712551
13233,GA,Polk,11.5,10.4,28,34.5,,3,4,33.33333333,0.072488281,0.097245521,34.15343722
13235,GA,Pulaski,12.7,13.6,30.6,31.7,,0,0,0,0,0,0
13237,GA,Putnam,13.2,12.8,29.2,30,,1,4,300,0.0472166,0.188750472,299.7546244
13239,GA,Quitman,13.7,16.9,32,34,,0,0,0,0,0,0
13241,GA,Rabun,11.9,13,25.8,29.4,,1,0,-100,0.0613685,0,-100
13243,GA,Randolph,14.8,16.7,33.7,33.7,,0,0,0,0,0,0
13245,GA,Richmond,12.3,13.5,33.3,34.1,,12,10,-16.66666667,0.0604568,0.0496603,-17.85810059
13247,GA,Rockdale,11.2,13.1,30.3,36,,7,7,0,0.082717873,0.079768444,-3.565649429
13249,GA,Schley,11.3,12.6,30,30.4,,0,0,0,0,0,0
13251,GA,Screven,13.6,13.6,31.1,33,,0,0,0,0,0,0
13253,GA,Seminole,13.5,14.2,30.4,30.7,,0,0,0,0,0,0
13255,GA,Spalding,11.8,12.9,31.7,32.4,,5,8,60,0.077960552,0.125023442,60.36756892
13257,GA,Stephens,12.9,12.6,32.6,30.1,,3,2,-33.33333333,0.115079213,0.078492936,-31.79225536
13259,GA,Stewart,16.8,13.7,33.3,34.2,,0,0,0,0,0,0
13261,GA,Sumter,13.2,13.8,30.3,32.7,,1,1,0,0.0305586,0.0320184,4.777151639
13263,GA,Talbot,14.9,16.3,33.3,33.3,,1,0,-100,0.145496872,0,-100
