FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15
13001,GA,Appling,3655.485669,3671.279857,0.432068122,20.04543578,20.13204572,1065.082135,1235.131823,15.96587559,5.840546911,6.773041364,325.417728,347.3984909,6.754629816,4.669503918,4.984911622,289.5273468,4.154503469,837.0896703,842.443687,0.639598948,4.590314051,4.619673651,552.4435452,553.8696426,0.258143543,3.029411851,3.037232082,3067.598131,16.82166117,341.0057346,1.869959062,298.5021034,1.636883656,45.44520432,0.24920599,7.0916466,0.03888817,12.00000055,0.065803907,198.139139,1.086527413
13003,GA,Atkinson,1925.072136,1919.599016,-0.284307313,22.98593596,22.92058526,914.9566377,1027.366526,12.2858159,10.92485538,12.26706299,157.4215345,191.4599068,21.62243715,5.277289121,6.418367644,228.4605311,7.658750624,553.8217399,553.6333141,-0.034022836,6.612796895,6.610547034,242.7913451,242.4911937,-0.123625254,2.899001136,2.895417238,1066.506806,12.73440962,531.6756791,6.348366317,375.8449082,4.487700396,4.000000024,0.047761194,16.30294677,0.194662051,2.999999926,0.035820895,298.1135791,3.559565123
13005,GA,Bacon,788.4184209,1369.729366,73.73127387,7.105429172,12.34435261,302.9183198,607.656003,100.6006119,2.729977648,5.476351865,114.6348182,164.9091737,43.85609559,2.720332658,3.913364349,87.06588096,2.066110132,198.7724926,395.9252296,99.18512082,1.791388722,3.568179791,136.2020704,191.5307697,40.62250977,1.227488017,1.726124456,935.6910085,8.432687532,315.9423468,2.847353522,115.4844537,1.040775538,5.602306612,0.050489425,1.703606978,0.015353343,0,0,110.790101,0.998468826
13007,GA,Baker,2651.71372,2616.917116,-1.31223079,76.83899506,75.83069011,1501.617507,1054.157546,-29.79853119,43.5125328,30.54643714,202.3115588,121.490479,-39.94881969,14.74574044,8.854991181,185.2228269,13.50020604,592.5623558,583.7252189,-1.491342945,17.17074343,16.91466876,423.9128833,417.0540044,-1.617992569,12.28376944,12.08501896,1320.631541,38.26808291,1182.05542,34.25254767,90.82489632,2.631842838,18.89102504,0.547407274,7.000000067,0.202839759,2.00000003,0.057954217,86.33912814,2.501858248
13009,GA,Baldwin,8230.218551,7587.25075,-7.812281011,18.00135291,16.59503664,3922.001363,4261.033191,8.644357715,8.578305694,9.319845124,637.0721872,671.6513877,5.427830815,3.794806929,4.000782629,551.1209919,3.282826971,1865.040891,1715.018949,-8.043895584,4.079267041,3.751135059,1138.105008,1086.280713,-4.553560097,2.489293544,2.375942067,3476.56878,7.604043701,3821.604875,8.358715826,103.0026501,0.225290136,115.5608958,0.252757865,17.54861396,0.038382795,0.950652532,0.002079293,155.0169324,0.339057158
13011,GA,Banks,1826.314105,674.3182326,-63.07764197,9.928318047,3.665769136,669.6957788,265.747116,-60.31823338,3.640640276,1.444670378,252.3166485,330.40395,30.94813681,3.765920126,4.931402239,34.2854482,0.511723108,469.0179715,187.6711438,-59.98636402,2.549703569,1.020229105,204.2715733,61.80041915,-69.74595233,1.110473353,0.335963138,485.3126829,2.638285854,14.72372336,0.080041986,246.176903,1.338281614,3.713567881,0.02018792,0,0,0,0,170.5682613,0.927253391
13013,GA,Barrow,10201.09547,8995.276941,-11.82048081,14.70597759,12.96766033,3972.712109,3541.567808,-10.85264398,5.727092291,5.105551354,477.1860033,484.9156599,1.619841425,1.990680419,2.022926285,537.5938591,2.242684323,2818.926003,2509.563316,-10.97448767,4.063785378,3.617805752,806.5900957,663.8834849,-17.69258158,1.162786477,0.957059531,7386.845044,10.64893255,719.0272693,1.036555234,713.4740688,1.028549698,327.7433968,0.472477398,33.61041602,0.048453034,2.796369739,0.004031268,525.2543892,0.757210762
13015,GA,Bartow,33460.20996,32530.30122,-2.779147955,33.40775978,32.47930871,11603.45442,14127.57723,21.75320145,11.58526555,14.1054317,909.9488763,1079.820842,18.66829777,2.543035259,3.017776653,1854.737567,5.183437391,9174.136236,8750.781927,-4.614650343,9.15975542,8.737064735,3216.84576,3267.261046,1.56722733,3.211803229,3.262139487,26086.98891,26.04609653,3852.291024,3.846252407,2904.328845,2.899776196,200.2034635,0.199889637,120.7953773,0.120606026,13.81705255,0.013795394,2256.205431,2.252668741
13017,GA,Ben Hill,3938.862089,4050.363238,2.830795971,22.3367477,22.96905545,2152.884543,2358.906511,9.569578105,12.20871353,13.3770359,470.9268244,582.6286512,23.71957193,6.931510515,8.575635137,465.09355,6.84565131,1063.865346,1088.590057,2.32404515,6.033034741,6.173245192,564.6340925,575.543144,1.93205682,3.201962643,3.263826381,2622.979324,14.87455668,1061.555781,6.019937511,387.8160558,2.199251763,31.85235108,0.180630323,4.800370001,0.027222241,2,0.011341726,327.1754185,1.85536701
13019,GA,Berrien,2663.026382,3723.029583,39.80445737,13.80808038,19.30431185,1196.161666,1913.009276,59.92899036,6.202227865,9.919160405,240.9191239,389.604631,61.71594214,3.236855084,5.234510695,414.3381124,5.566815967,659.4500156,934.5142007,41.71114999,3.419319795,4.845557403,395.618967,509.4311974,28.76814308,2.051327216,2.641455965,3044.123826,15.78411193,529.8820081,2.747495634,168.8706398,0.875612568,5.125460466,0.026576068,6.90973368,0.035827718,0,0,136.9885526,0.71030049
13021,GA,Bibb,35466.27426,38423.19675,8.337279722,22.80100179,24.70198509,12047.33074,16902.29648,40.29909895,7.745138604,10.86635967,1221.843277,1766.71474,44.59421868,2.026442122,2.930118153,3111.495844,5.160454173,9374.703104,10304.40149,9.917096903,6.026926333,6.624622458,4937.110442,5292.328144,7.194850223,3.174031285,3.402398082,18215.95782,11.7109027,18482.70018,11.88238936,1234.258924,0.793495808,509.7053297,0.327685735,91.65815292,0.058926339,27.47274213,0.01766202,1095.702557,0.704418958
13023,GA,Bleckley,955.1469651,907.6013376,-4.9778337,7.311849997,6.947878264,363.3703759,403.2126432,10.96464376,2.781676307,3.086677204,107.4544411,120.2066217,11.86752313,2.305889293,2.579541238,54.91893515,1.178517922,236.7959638,227.2088386,-4.048686073,1.812722681,1.73933123,145.8580151,143.3720167,-1.704396124,1.116573644,1.097542806,724.4429005,5.54576208,157.8200674,1.208145659,25.30883261,0.193744413,4.062962754,0.031102831,1.060422204,0.008117754,0,0,20.21498535,0.154749945
13025,GA,Brantley,2833.999023,798.9149833,-71.8096239,15.39296629,4.339335089,1016.604376,435.561977,-57.15521324,5.521722752,2.365770338,345.6729699,292.3658184,-15.42126695,5.020667681,4.246417116,71.59987958,1.039940154,774.2302197,202.4448311,-73.85211453,4.20525892,1.099586286,314.9439202,129.5062877,-58.8795721,1.710629082,0.703417998,744.4781959,4.043659746,33.24368009,0.180564228,18.27702116,0.099272289,0,0,0.002406014,1.30683E-05,0,0,21.19070639,0.115098074
13027,GA,Brooks,1355.036454,1355.036454,0,8.342279466,8.342279466,640.1321577,594.4634728,-7.134258816,3.940972466,3.659813291,167.2769855,248.455429,48.52935577,2.5906301,3.847846197,97.79537043,1.514563581,355.3378225,355.3378225,0,2.187636659,2.187636659,191.0940764,191.0940764,0,1.176470334,1.176470334,862.76308,5.311599335,405.4222998,2.495981652,88.2364128,0.543227315,1.924474272,0.011848022,4.153605569,0.025571665,0.003365152,2.07176E-05,80.76963055,0.497258084
