FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS16,PCH_REDEMP_SNAPS_12_16,PCT_SNAP12,PCT_SNAP16,PCH_SNAP_12_16,PC_SNAPBEN10,PC_SNAPBEN15,PCH_PC_SNAPBEN_10_15,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP09,PCT_NSLP15,PCH_NSLP_09_15,PCT_FREE_LUNCH09,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH09,PCT_REDUCED_LUNCH14,PCT_SBP09,PCT_SBP15,PCH_SBP_09_15,PCT_SFSP09,PCT_SFSP15,PCH_SFSP_09_15,PC_WIC_REDEMP08,PC_WIC_REDEMP12,PCH_PC_WIC_REDEMP_08_12,REDEMP_WICS08,REDEMP_WICS12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_WIC15,PCH_WIC_09_15,PCT_CACFP09,PCT_CACFP15,PCH_CACFP_09_15,FDPIR12
13021,GA,Bibb,407095.3236,329531.7612,-19.05292395,19.39529709,16.41494763,-2.98034946,35.989658,35.98030915,-0.025976502,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,70.48770817,98.23486149,6.225218081,0.073547438,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,41.2962,42.13349,2.027528,173085.8,212654.5,22.86079,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13023,GA,Bleckley,210618.5115,235917.3918,12.01170785,19.39529709,16.41494763,-2.98034946,21.16665391,21.05173943,-0.542903395,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,46.77952106,70.06885379,8.794384806,2.956662616,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,28.42467,21.90661,-22.93101,72636.4,70720,-2.638345,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13025,GA,Brantley,123382.349,140112.0641,13.55924502,19.39529709,16.41494763,-2.98034946,23.68149476,26.90299384,13.60344485,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,51.54553049,77.05430765,10.97187413,1.62069946,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,27.13946,,,52569.13,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13027,GA,Brooks,147486.006,155185.8959,5.220759635,19.39529709,16.41494763,-2.98034946,31.25961953,30.35517036,-2.893346686,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,70.69038543,95.50664833,8.894536213,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,26.82228,19.33123,-27.92845,110514.5,74439.75,-32.64255,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13029,GA,Bryan,186367.1814,162242.9375,-12.94447,19.39529709,16.41494763,-2.98034946,13.54755841,12.75010461,-5.886328569,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,25.23287671,28.72902242,8.205479452,9.81105504,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,18.45321,18.32576,-0.6906811,82514.86,84335.14,2.206004,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13031,GA,Bulloch,278867.3321,252468.8677,-9.466316545,19.39529709,16.41494763,-2.98034946,19.83968745,20.43352956,2.993202998,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,47.29884459,56.07820364,9.513896117,6.775067751,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,26.4385,21.73467,-17.79159,256056.9,197497.5,-22.86967,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13033,GA,Burke,382063.6551,304581.7615,-20.27983888,19.39529709,16.41494763,-2.98034946,38.72162178,37.92542433,-2.056208946,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,71.11860122,100,12.57636402,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,35.38695,24.04497,-32.0513,115462.6,111208,-3.684805,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13035,GA,Butts,228652.4466,155763.6841,-31.87753448,19.39529709,16.41494763,-2.98034946,24.8220954,26.31150558,6.000340238,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,51.19684596,77.32046551,8.983384962,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,19.54018,23.84709,22.04128,95309.2,112195.8,17.7177,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13037,GA,Calhoun,150123.1757,106868.3987,-28.81285771,19.39529709,16.41494763,-2.98034946,29.01852405,27.82933746,-4.098025769,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,76.53213752,78.69974337,11.36023916,3.76390077,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13039,GA,Camden,271018.7334,221702.074,-18.1967714,19.39529709,16.41494763,-2.98034946,18.48204093,17.75688484,-3.923571495,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,32.25439504,41.29253963,11.79937952,9.411373462,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,31.00275,29.99977,-3.235148,165255,154204.8,-6.686759,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13043,GA,Candler,217279.037,151679.891,-30.1911988,19.39529709,16.41494763,-2.98034946,32.58925865,25.53726566,-21.63901016,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,59.18065153,65.94768242,7.699901283,6.05782469,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13045,GA,Carroll,293428.3561,266732.5103,-9.097909328,19.39529709,16.41494763,-2.98034946,25.88884767,21.69490245,-16.19981422,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,49.69857603,55.09009468,8.450265045,7.467168889,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,21.41529,26.02378,21.51965,121832.6,138273,13.49425,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13047,GA,Catoosa,316594.6456,259705.6309,-17.96903881,19.39529709,16.41494763,-2.98034946,19.67277637,32.68864035,66.16180522,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,37.50232126,39.86187845,10.10213556,10.3038674,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,22.1979,17.48287,-21.24087,127567.3,103381,-18.95964,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13049,GA,Charlton,146935.3711,122823.4994,-16.40984843,19.39529709,16.41494763,-2.98034946,33.38536959,19.85804699,-40.51871453,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,55.99547511,63.59807461,11.31221719,10.40914561,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13051,GA,Chatham,388410.2068,272474.7523,-29.84871472,19.39529709,16.41494763,-2.98034946,21.43744405,20.94163509,-2.312817512,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,61.52071074,60.40076586,8.226606669,6.719647494,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,23.93589,24.2129,1.157292,120230.5,139443.1,15.97985,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13053,GA,Chattahoochee,1253320.965,545266.296,-56.4942811,19.39529709,16.41494763,-2.98034946,10.68755362,8.7899145,-17.75559861,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,45.39400666,47.18232044,17.9800222,21.7679558,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
