FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13145,GA,Harris,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13147,GA,Hart,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13149,GA,Heard,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13151,GA,Henry,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13153,GA,Houston,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13155,GA,Irwin,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13157,GA,Jackson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13159,GA,Jasper,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13161,GA,Jeff Davis,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13163,GA,Jefferson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13165,GA,Jenkins,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13167,GA,Johnson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13169,GA,Jones,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13171,GA,Lamar,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13173,GA,Lanier,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13175,GA,Laurens,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13177,GA,Lee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13179,GA,Liberty,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13181,GA,Lincoln,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13183,GA,Long,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13185,GA,Lowndes,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13187,GA,Lumpkin,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13189,GA,McDuffie,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13191,GA,McIntosh,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13193,GA,Macon,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13195,GA,Madison,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13197,GA,Marion,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13199,GA,Meriwether,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13201,GA,Miller,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13205,GA,Mitchell,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13207,GA,Monroe,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13209,GA,Montgomery,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13211,GA,Morgan,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13213,GA,Murray,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13215,GA,Muscogee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13217,GA,Newton,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13219,GA,Oconee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13221,GA,Oglethorpe,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
