FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
13081,GA,Crisp,52.11826443,42.80472716,3.191262426,0.780750032,0.102393447,0.025598362,13.96390631,26.11886173,31095,32.3,1,47.4,1,0,0
13083,GA,Dade,94.96783503,0.853724524,1.755546203,0.685384477,0.390789395,0.030060723,14.41111044,21.55955029,43632,16.2,0,21.8,0,1,0
13085,GA,Dawson,93.35871026,0.434393193,4.120017913,0.555306762,0.326914465,0.035826243,14.02597403,22.76309897,60195,12.1,0,18,0,1,0
13087,GA,Decatur,52.49263702,40.82321672,5.042741182,0.495654048,0.204726672,0.010775088,13.93218878,25.43639106,37661,27.3,1,39.9,1,0,0
13089,GA,DeKalb,29.39688651,53.61566022,9.8026718,5.083589515,0.179073932,0.0354101,8.993876221,23.86727428,53994,17.8,0,27.7,0,1,0
13091,GA,Dodge,65.48449257,29.59717379,3.358414388,0.463387778,0.178931914,0.013763993,13.83281336,23.29326482,34611,24.8,0,38.1,0,0,0
13093,GA,Dooly,43.31009519,49.47714171,5.778254458,0.623407964,0.107252983,0.020109934,13.775305,21.17576083,32323,33.8,1,45.4,1,0,0
13095,GA,Dougherty,28.88489399,66.8302226,2.19214297,0.760323587,0.187172844,0.054988632,12.11547613,25.7325649,34799,29.4,1,42.1,1,1,1
13097,GA,Douglas,49.0253242,38.81105413,8.40237759,1.416886324,0.242441637,0.096674547,8.492254707,28.347545,58443,14.1,0,21.6,0,1,0
13099,GA,Early,47.69258721,49.42768895,1.553415698,0.336119186,0.308866279,0.018168605,16.26998547,26.35356105,31935,26.5,1,41.6,1,0,0
13101,GA,Echols,63.33663857,4.040654437,29.32573128,0.297471492,1.363411006,0.024789291,9.866137828,29.32573128,34414,25.9,0,39.3,0,1,0
13103,GA,Effingham,80.97799043,13.36267943,2.872727273,0.813397129,0.258373206,0.03062201,9.115789474,28.52822967,63255,11.4,0,15.3,0,1,0
13105,GA,Elbert,64.24675196,29.28691858,4.795199841,0.600019835,0.18347714,0.024794208,16.81047307,23.30159675,35814,23.7,0,35.3,1,0,0
13107,GA,Emanuel,60.77086468,33.37020975,4.07558191,0.681476237,0.203557837,0.013275511,13.99238871,25.43587928,31772,27,1,40.2,1,0,0
13109,GA,Evans,56.61818182,28.77272727,13.1,0.545454545,0.081818182,0,13.68181818,25.79090909,34085,27.4,1,41.8,1,0,0
13111,GA,Fannin,96.11097036,0.316696225,1.81994764,0.304028376,0.287137911,0.025335698,21.94493708,19.13267461,39796,17.4,0,29.8,0,0,0
13113,GA,Fayette,67.75268141,19.8157028,6.34342714,3.852975124,0.207381272,0.057240985,12.7103137,26.36744959,80588,7,0,10,0,1,0
13115,GA,Floyd,73.67235275,14.00998785,9.330647757,1.271841939,0.201418234,0.058141346,14.22594142,24.34149735,41130,19.6,0,28.7,0,1,0
13117,GA,Forsyth,80.30436839,2.442581946,9.429608401,6.196192831,0.206254879,0.030767302,8.90998285,30.42829224,97886,6.3,0,6.9,0,1,0
13119,GA,Franklin,85.64118819,8.245788806,3.921391052,0.547907988,0.13131679,0.018112661,16.88552798,22.44158667,40156,21.9,0,31.3,0,0,0
13121,GA,Fulton,40.84529227,43.50046329,7.882630643,5.573002267,0.172282504,0.031175964,9.062103172,23.86384251,59911,16,0,23.8,1,1,0
13123,GA,Gilmer,88.6398982,0.346387671,9.462038739,0.229746925,0.254488901,0.053018521,17.7258589,22.01682454,43907,16.9,0,30.6,0,0,0
13125,GA,Glascock,89.22777417,8.144062297,1.07073329,0.032446463,0.227125243,0,15.08760545,26.37897469,40732,17.8,0,24.4,0,0,0
13127,GA,Glynn,64.80546555,25.77675634,6.43759576,1.122748851,0.183357195,0.092934469,15.04031347,24.15165901,46377,18.2,0,30,1,1,0
13129,GA,Gordon,79.92425615,3.524444606,14.02167216,0.945892074,0.235566992,0.088790635,11.63882144,26.9543,44580,18.1,0,26.4,0,0,0
13131,GA,Grady,59.48982448,28.50345848,9.995601935,0.375834633,0.539762504,0.039982408,14.13777938,25.69669345,36486,29.3,1,41.1,1,0,0
13133,GA,Greene,54.83931474,38.00175066,5.583343754,0.33762661,0.237589096,0.062523446,20.99537326,20.61398024,43326,21.2,1,37.9,1,0,0
13135,GA,Gwinnett,43.99686585,22.86318127,20.1205482,10.52536815,0.190607224,0.042591712,6.84261307,29.14452746,61797,12.6,0,17.9,0,1,0
13137,GA,Habersham,80.4372575,3.280592923,12.39051137,2.218814619,0.188192654,0.109198206,15.33189285,23.93996422,44400,16.6,0,23.5,0,0,0
13139,GA,Hall,63.61167383,7.099686116,26.10471717,1.770330135,0.20703012,0.031722357,11.13621691,27.91901338,54578,16.9,0,24.3,0,1,0
13141,GA,Hancock,23.45953972,73.80422102,1.474175416,0.498462191,0.222717149,0.010605579,15.56898929,18.2309895,28328,34.7,1,43.7,1,0,0
13143,GA,Haralson,92.13342599,4.662960389,1.104933982,0.482974288,0.218902015,0.00694927,14.02362752,25.13203614,41167,19.2,0,27,0,1,0
13145,GA,Harris,77.59180615,17.04034474,2.722957782,0.874344242,0.312265801,0.053085186,13.23382463,23.78840869,65887,9.9,0,13.6,0,1,0
13147,GA,Hart,76.20275255,18.6054813,3.117439416,0.836869869,0.111053821,0,17.9550232,22.25439258,39567,18.6,0,28.7,0,0,0
13149,GA,Heard,86.10782491,9.734662836,1.884400879,0.473212777,0.270407301,0.016900456,13.22460706,25.75629542,41514,19.1,0,30.7,0,1,0
