FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13029,GA,Bryan,5,7,40,0.16673892,0.206453135,23.81820327,0,0,0,0,0,0,30,29,-3.333333333,1.000433521,0.855305846,-14.5064787,0,0,0,0,0,0,31.16666667,36,15.50802139,0.967488256,0.99365167,2.704261691,7,7,0,0.223635,0.2172968,-2.834169
13031,GA,Bulloch,7,11,57.14285714,0.102043791,0.152593394,49.5371664,1,1,0,0.0145777,0.0138721,-4.839985018,58,50,-13.79310345,0.8455057,0.693606337,-17.96550433,1,2,100,0.0145777,0.0277443,90.32002996,85.83333333,89.58333333,4.368932039,1.180748526,1.198888324,1.536296481,7,8,14.28571,0.1032525,0.1100504,6.583761
13033,GA,Burke,3,4,33.33333333,0.129774625,0.176141618,35.72885934,1,1,0,0.0432582,0.0440354,1.796644502,18,17,-5.555555556,0.778647748,0.748601876,-3.858724637,0,1,,0,0.0440354,,30.16666667,29.41666667,-2.486187845,1.304504505,1.296573813,-0.607946664,7,5,-28.57143,0.3064799,0.2162162,-29.45174
13035,GA,Butts,3,3,0,0.12667849,0.128380692,1.343717905,0,0,0,0,0,0,18,24,33.33333333,0.76007094,1.027045532,35.12495721,0,0,0,0,0,0,24.25,28.41666667,17.18213058,1.030862098,1.193125359,15.74053994,5,5,0,0.2050189,0.2125489,3.672842
13037,GA,Calhoun,1,1,0,0.149925037,0.154726907,3.202846975,0,0,0,0,0,0,7,4,-42.85714286,1.049475262,0.618907628,-41.02694459,0,0,0,0,0,0,8.083333333,7.583333333,-6.18556701,1.242824928,1.199135568,-3.515326982,3,3,0,0.4876463,0.4612546,-5.412061
13039,GA,Camden,6,5,-16.66666667,0.119942428,0.096103946,-19.87493673,1,1,0,0.0199904,0.0192208,-3.849924078,31,35,12.90322581,0.619702543,0.672727622,8.556537331,2,3,50,0.0399808,0.0576624,44.22511388,50.58333333,49.66666667,-1.812191104,0.984073253,0.936965489,-4.787017943,9,10,11.11111,0.1876055,0.194545,3.698945
13043,GA,Candler,3,4,33.33333333,0.275735294,0.367376929,33.23536615,0,0,0,0,0,0,14,14,0,1.286764706,1.285819251,-0.073475386,2,1,-50,0.183823529,0.091844232,-50.03673769,15.33333333,21,36.95652174,1.379268987,1.924839597,39.55505519,1,2,100,0.0952835,0.1799047,88.80993
13045,GA,Carroll,23,24,4.347826087,0.208271078,0.210354711,1.000442431,2,2,0,0.0181105,0.0175296,-3.207909337,76,88,15.78947368,0.688200085,0.771300606,12.07505235,4,3,-25,0.0362211,0.0262943,-27.405932,125.5833333,127.75,1.725282017,1.125500388,1.098820757,-2.37046845,20,21,5,0.1757763,0.1882058,7.071199
13047,GA,Catoosa,8,8,0,0.125246579,0.121912193,-2.662257509,1,3,200,0.0156558,0.0457171,192.0132275,34,25,-26.47058824,0.532297962,0.380975602,-28.42813052,2,1,-50,0.0313116,0.015239,-51.33112876,62.25,66.16666667,6.291834003,0.957015036,0.996515959,4.127513397,11,11,0,0.1740093,0.1691111,-2.814927
13049,GA,Charlton,3,2,-33.33333333,0.236873273,0.155074824,-34.53257864,0,0,0,0,0,0,11,8,-27.27272727,0.868535334,0.620299294,-28.58099488,0,0,0,0,0,0,16.25,16.5,1.538461538,1.222264009,1.320316876,8.022233028,3,3,0,0.2769316,0.2256487,-18.51823
13051,GA,Chatham,48,56,16.66666667,0.183120837,0.197615208,7.915194845,5,6,20,0.0190751,0.0211731,10.99848613,148,185,25,0.56462258,0.652835955,15.62342305,24,32,33.33333333,0.091560418,0.112922976,23.33165125,236.9166667,295.8333333,24.86809708,0.857046046,1.023354388,19.40483167,50,48,-4,0.1990834,0.17364,-12.78027
13053,GA,Chattahoochee,1,1,0,0.08364701,0.084480865,0.996874208,0,0,0,0,0,0,1,2,100,0.08364701,0.16896173,101.9937484,2,1,-50,0.167294019,0.084480865,-49.5015629,4,5,25,0.306819053,0.457791613,49.20573155,2,2,0,0.1452011,0.1534095,5.653141
13055,GA,Chattooga,5,7,40,0.193094925,0.280684871,45.36108104,1,1,0,0.038619,0.0400978,3.829343598,19,27,42.10526316,0.733760717,1.082641646,47.54696196,0,0,0,0,0,0,36.41666667,34.25,-5.949656751,1.415613865,1.379713181,-2.536050593,8,7,-12.5,0.2980071,0.2721089,-8.690471
13057,GA,Cherokee,37,38,2.702702703,0.174337517,0.164512847,-5.635430872,5,6,20,0.0235591,0.0259757,10.25754919,73,68,-6.849315068,0.34396321,0.294391411,-14.41194812,9,9,0,0.0424064,0.0389636,-8.118709007,107.25,118.3333333,10.33411033,0.484603393,0.489609926,1.03311954,28,33,17.85714,0.1332604,0.1491087,11.8928
13059,GA,Clarke,24,25,4.166666667,0.205403832,0.206717492,0.639549466,2,2,0,0.017117,0.0165374,-3.386032513,66,65,-1.515151515,0.564860539,0.537465478,-4.849880505,3,3,0,0.0256755,0.0248061,-3.386032513,106.5833333,110.8333333,3.987490227,0.886229968,0.888749896,0.284342496,17,18,5.882353,0.1476284,0.1496682,1.381736
13061,GA,Clay,2,2,0,0.624804749,0.644745326,3.191489362,0,0,0,0,0,0,2,2,0,0.624804749,0.644745326,3.191489362,0,0,0,0,0,0,5.25,5.833333333,11.11111111,1.684852375,1.931567329,14.64311994,1,1,0,0.3160556,0.3209243,1.540443
13063,GA,Clayton,40,54,35,0.153806519,0.201837469,31.22816231,6,7,16.66666667,0.023071,0.0261641,13.40705385,152,159,4.605263158,0.584464773,0.594299213,1.682640384,16,9,-43.75,0.0615226,0.0336396,-45.32159904,284.25,281.0833333,-1.114042803,1.069059153,1.005801624,-5.917121515,64,52,-18.75,0.2318765,0.1955711,-15.65723
13065,GA,Clinch,2,1,-50,0.294160906,0.146391451,-50.23422632,0,0,0,0,0,0,5,9,80,0.735402265,1.317523057,79.15678524,0,0,0,0,0,0,11.5,11.83333333,2.898550725,1.711818994,1.73280617,1.226016074,1,1,0,0.1410636,0.1488538,5.522479
13067,GA,Cobb,100,107,7,0.146033155,0.146378634,0.236575232,12,12,0,0.017524,0.0164163,-6.320957727,257,239,-7.003891051,0.375305209,0.326957883,-12.88213579,26,23,-11.53846154,0.0379686,0.0314646,-17.13007799,432.3333333,454.4166667,5.107941403,0.611121948,0.60738711,-0.611144447,82,86,4.878049,0.1163414,0.1215647,4.489634
13069,GA,Coffee,8,8,0,0.190073416,0.186867861,-1.686482446,1,1,0,0.0237592,0.0233585,-1.686482446,40,42,5,0.950367079,0.981056271,3.229193432,3,4,33.33333333,0.071277531,0.093433931,31.08469007,67.83333333,64.75,-4.545454545,1.571307235,1.505393844,-4.194812441,24,19,-20.83333,0.5890727,0.4401205,-25.28588
